UserId,Location,Rating,Headline,Review,Date,Value Rating,Food Rating ,Service  Rating ,Atmosphere  Rating 
rbrech,Silver Spring,3,"Good, not great.","This is a fine Italian restaurant. Nothing outstanding (including the bread that other reviews boast about), and nothing terrible. Dishes are generously proportioned. I enjoyed the veal picatta and my dining partner had a nice bowl of linguine and clams. Service was good. Tables are not so close together that diners can converse with a normal tone of voice.",3/14/2020,3,3,3,3
Diane O,Unknown,1,Valentine's Dinner was AWFUL,"Our Valentine's dinner last night was a complete disappointment.The spinach salad was bland and blah.The brie cheese was so ""funky"" that it was barely edible. The steaks were small and dry -- mine had to be sent back because it was overcooked to the point of being shoe leather. The ""sauce"" was a mystery smear that didn't help with the dryness. The small lobster cake was tasty, I'll give them that. However, the trio of mousse dessert was a joke. Literally three tiny bites of mediocre mousse in what appeared to be a store-bought philo crust.

My husband announced he was still hungry AFTER the full meal (and while signing the check for ONE HUNDRED AND SEVENTY FIVE DOLLARS) and then proceeded to finish off the bread in the basket, which he never does. 

Nothing Italian, nothing substantial, nothing special. I looked around and actually felt really badly for the young couples that I saw sitting there -- taking their girlfriends out for what was a VERY expensive dinner for what was served. They probably had to save up for this special occasion -- and for that to be their meal was just sad. They would have been better off at Ozzie's where they could get a satisfying and tasty meal for half the price. 
 
I'm sure they had great profit margins last night but sadly they phoned it in and we will not be returning.",2/14/2020,1,1,4,1
L4Y,Unknown,3,New years eve pre-fixed dinner,"Let me start by saying we usually love this place.  We also appreciate how hectic a holiday night can be.  The place was less than busy early in the evening (3 tables with patrons).  Handling a prefixed dinner does not seem to be their Forte.  $85/person.  OK... But the food just wasn't worth it. Tasted alright, but serving sizes were small (even the salad wasn't their usual size). A 3 piece bitesize dessert was hardly worth it.  We expect to pay more on a holiday and would generously tip for those giving up their holiday to serve us... But this experience just wasn't with the money.",1/9/2020,4,4,4,4
Happy201501,Bradenton,5,A Classic Local Italian Restaurant Maintains its Standards and Value,We returned to Dolce Vita after a lapse of 5 years during which we had moved to Florida. A lunch at Dolce Vita reminded us of why we loved it. Lunch pastas for $11.99 including a salad and soda are ab great value. All four of  us ordered the cannelloni in a rose colored sauce that was absorbed by fresh bread. The salads were fresh and perfectly paired with salad dressing (balsamic vinegrette and others). I loved the cannoli for dessert accompanied by freshly brewed expresso drinks. A great lunch at a value orice.,1/6/2020,4,4,4,4
jchizzon,Clinton,4,On a recent trip to Northern,"On a recent trip to Northern Virginia, I ate at Dolce Vita for a second time.  Both times this restaurant did not disappoint.  It is high end Italian done well. During this visit, I had a seafood soup that was incredible.",1/3/2020,4,4,4,4
HalibutVA,Springfield,5,Great Local Italian!,"This is a nice cozy space with cute décor, phenomenal service and authentic Italian food.  We enjoyed cannelloni and salmon with mussels--both entree's beautifully prepared and ample portions.  A great value for the quality--we're lucky to have this local gem nearby.",12/28/2019,5,5,5,5
Steffenserves,Unknown,5,Dinner with Family,We had a group of 8 for dinner before Christmas. Everyone raved about it. The service and drinks were top-notched. I would definitely recommend it to anyone.,12/26/2019,4,4,4,4
Tom Porter,Washington DC,3,"Excellent ambiance, mixed food results","Family dinner here, including three kids who eat out a lot at a wide range of restaurants. Attentive service and fun holiday decor. Five stars to the hostess who squeezed us in last minute on a busy Saturday night. The sausage and pepperoni pizza was very good, but the cheese pizza was just ok. My daughter had the fettuccine alfredo, she wasn't a fan. It was lacking in flavor. Another daughter and I had the fettuccine carbonara, which had a bit more flavor to it, but mainly because of the bacon. It was very good only after heavy parmesan, salt and pepper, but my kid ate it plain and she said it was just ok. The alfredo sauce needs some rework. To be fair, on a prior visit, my wife and I had a very good meal.",12/14/2019,4,4,4,4
cfuller603,Washington DC,3,Not like I remembered it,"I used to live in Fairfax and loved this place which was always hard to get into on a weekend. So I went with my daughter for lunch during the week with high expectations--which were not met. I had just come back from Florence, Italy, so maybe my sights were too high.  The Bruschetta was not typical Italian, though it was good for me.  But my daughter didn't like the fact that the bread was soft and the mild cheese was melted on top (not Buffalo as in Italy).  The Garlic Shrimp Linguini was good but nothing special. The Shrimp Marinara was just so so.  Service was a bit lackadaisical.  

Doubt I'll go back.",12/3/2019,3,3,3,3
cbfield,Birmingham,5,Almost perfect,"Very good service. Great food: fettuccini alfredo with a wonderful sauce, chicken piccata, and veal saltamboca. Chocolate bread pudding and cremé bruleé for dessert. Only drawbacks: it was very loud - too loud for much conversation - and cold where we were seated near the door.",10/20/2019,5,5,5,5
belroseplace,San Diego,5,Still my fav Italian near DC,"I used to live in Falls Church but have been away for 6 years.  While there, Dolce Vita was absolutely my favorite Italian restaurant.  Don't know if they still do it, but on Friday nights they had a man who played guitar and sang, I loved that.  Back for a visit and went for lunch with a 92 year old Sicilian.  I knew the carbonara was not on the lunch menu, but asked if it was possible to get it.  They said absolutely and made it special for me.  My friend had the stuffed shells and commented that their red sauce was excellent and the dish made him feel like home.  I love the atmosphere, the service is impeccable, the food is perfect and it's just a lovely experience.  Highly recommended!",10/12/2019,5,5,5,5
Judithpal,Gaithersburg,5,We had a love lunch for our first time visit,"We planned a stay overnight in Fairfax, VA as we were invited to one of my client's for dinner and the next day we would be going to Remington to visit with my son's family.

This is a small but very nice restaurant. They have a fairly nice wine list and to our surprise a very inexpensive menu for lunch.  We didn't want too much because the dinner we were attending later would be large.

My husband ordered the Sausage & Pepper sub sandwich and he said this was really good. He ordered a side salad to go with this meal and I had one, too. The salad was very fresh and was a nice accompaniment to my meatball and Parmigiana sandwich. I've had meatball Parmigiana sandwiches before, but not in a LONG time. The meatballs were plump, juicy and very well seasoned. This was a new experience for me. Many times the meatballs are tiny and hard. I was really surprised. They have a very nice selection of Italian wines and the Chianti we selected was perfect for our lunch.  We finished with two double espressos.

Service was good with a bit of a wait. The restaurant was busy when we arrived and stayed busy the entire time we were there.  They have a nice wine bar and also offer a wine club.  I wish they were closer to my home because this would mean we would be a regular.

I can't answer for everything on the menu but if the meal we had for lunch is any indication I would say you can depend on getting authentic Italian food.",10/8/2019,5,5,4,5
dariuszk888,Fairfax,5,Good Place for Lunch,"Good place for Italian food in Fairfax, VA. Parking can be a problem but most of the time it is sufficient to accommodate during lunch time. Food is very good and authentic.
Some of the help don't speak much English.",9/21/2019,4,4,4,4
Dreamersdoit,The Villages,4,2019 Local Italian restaurant,"Such a nice location along the main road but plenty of parking.  Inside it was well laid out.  Nice murals on the walls.  Sat at at booth midway back in the restaurant.

Food was good.  No frills.",8/22/2019,4,4,4,4
Alexandra S,Rio Novo do Sul,5,Perfect lunch,"The food is delicious and the staff is so friendly. 
It is the first time I am able to finish my pasta, which was home made
I am not a fan of cheesecake but I had the Blood Orange Cheesecake and loved it 
I recommend it warmly",7/25/2019,4,4,4,4
Aquatic P,Unknown,3,Meh,For a restaurant that has such great reviews I was disappointed.  Been to other Italian restaurants in the area that are much better.,7/13/2019,4,4,4,4
IrishRed2,Unknown,1,"Too many other, better restaurants. Skip this one.","This restaurant was a large disappointment.  I took my family out after graduation. We were crammed in a center aisle, even though there were better choices for a group of 9 to sit (open table reservations well in advance) and our server, who was a long-time employee, was abysmal. We spent $600 before tip and he never - not one time ever - asked if our food was good, if we wanted anything else, etc.  Drinks went unreplenished and condiments were missing. Ten minutes went by before I could find a server to get butter, which did not come with the potatoes. Water was never refilled.  The restaurant is just not that large that he could avoid us, but he studiously walked around us every time. We wanted more drinks! We wanted to spend more, but we could not.  

The noise level was atrocious. SO SO loud. We could barely hear our immediate neighbor. All this might have been tolerable if the food was good, but it was, at best, fair. No big complaints, but it was bland and uninteresting.

Do yourself a favor and avoid this place. They should be good to whomever they serve, but when you have a large party you have crowded in between tables, and you know that they are going to spend a lot of money, it is surprising that you're not interested in making them happy.",6/7/2019,1,3,1,3
Rick P,Fairfax,4,A local gem.,"Went for spur of the moment dinner for two.  Arrived early - and with no reservation that was a good idea.  Food, drinks and service were very good.",4/13/2019,4,4,4,4
RonaldB187,Fairfax,5,Excellent food - great value,"Love this place. A real gem. Great food, good service, great value. Every meal has been memorable. Beats the production food you get in chain restaurants.",4/12/2019,4,4,4,4
DianeRoanoke,Unknown,4,Great selection of Italian entrees,"This was my 4th visit to Dolce Vita, and there will be more on future trips to the area.  I have tried pasta, seafood, salads, and all were excellent.  Be prepared for large servings. The waitstaff is most accommodating.",3/30/2019,4,4,4,4
strattonz,Stratford,5,wonderful celebration,"we had 15 family/friends coming from out of state to celebrate my son's graduation.  from the first phone conversation i knew i had picked the right place.  meghan was super helpful with the arrangements.  the gentleman that helped me with the day of final details was awesome.  we wanted a private place to be able to gather and visit.  the cantina gave us that space and privacy.  the food was delicious, the servings were perfect and the service could not have been better.  i recommend Dolce Vita for a private event, and can't say enough about their professional and friendly staff.  Thanks for a great event!",3/23/2019,4,4,5,4
